IntentID,IntentName,Query,Response,,,
,匯兌,外匯,外匯（Foreign Exchange，或Forex）是貨幣行政當局以銀行存款、財政部證券、長短期政府證券等形式所持有的國際收支逆差時可以使用的債權。它是國際貿易的產物，是國際貿易清償的支付手段。 ,,,
,匯兌,電匯,電匯即匯款人向當地外匯銀行交付本國貨幣，由該行用電報或電傳通知國外分行或代理行立即付出外幣。,,,
,匯兌,信匯,信匯是指匯款人向當地銀行交付本國貨幣，由銀行開具付款委托書，用航空郵寄交國外分行或代理行，辦理付出外匯業務。採用信匯方式，由於郵程需要的時間比電匯長，銀行有機會利用這筆資金，所以信匯匯率低於電匯匯率，其差額相當於郵程利息。,,,
,匯兌,票匯,票匯是指匯出行應匯款人的申請，開立以匯入行為付款人的匯票，列明收款人的姓名、匯款金額等等，交由匯款人自行寄送給收款人或親自攜帶出國，以憑票取款的一種匯款方式。,,,
,匯兌,匯票,匯票主要有以下兩種:銀行匯票、商業匯票,,,
,匯兌,銀行匯票,銀行匯票是由企業單位或個人將款項交存開戶銀行，由銀行簽發給其持往異地採購商品時辦理結算或支取現金的票據。,,,
,匯兌,商業匯票,商業匯票是出票人簽發的，委托付款人在指定日期無條件支付確定的金額給收款人或者持票人的票據。,,,
,匯兌,外幣,外幣有狹義和廣義之分狹義的外幣，指本國貨幣以外的其他國家或地區的貨幣，包括各種紙幣和鑄幣等。,,,
,匯兌,匯兌,匯率亦稱“外匯行市或匯價”。一國貨幣兌換另一國貨幣的比率，是以一種貨幣表示另一種貨幣的價格。由於世界各國貨幣的名稱不同，幣值不一，所以一國貨幣對其他國家的貨幣要規定一個兌換率，即匯率。,,,
,匯兌,交叉匯率,所謂交叉匯率是指兩種不同貨幣之間的價格關係，兩個國家之間的貨幣匯兌是利用各自對美元的匯率套算得出。(資料來源:維基百科),,,
,匯兌,廣義的外幣,廣義的外幣，指所有以外國貨幣表示的能用於國際結算的支付憑證。除了國外的紙幣和鑄幣外，還包括企業所持有的外國的有價證券，如以外幣表示的政府公債、國庫存券、公司債券、股票和股息等；也包括外幣支付憑證，如以外幣表示的票據、銀行存款憑證、郵政儲蓄憑證等，還包括其他外幣資金，如各種外幣匯款、進出口貿易的外幣性貨款等。其涵義與外匯的靜態涵義一致。,,,
,匯兌,外匯掉期,一種同時買入及賣出在不同日期（通常為即期和遠期）交割的同等數額貨幣的交易形式。它允許企業在擁有多幣種資金的情況下有效地管理資金。(資料來源:維基百科),,,
,匯兌,即期匯率,指雙方在現貨交易日以約定價格出售另一貨幣來購買一種貨幣的協議。交易完成時的匯率稱為現貨匯率（spot exhcange rate）。(資料來源:維基百科),,,
,匯兌,遠期匯率,指銀行在與投資者訂立遠期合約時同意指定將來一個日期將一種貨幣兌換為另一種貨幣的匯率，並以此匯率在遠期外匯市場進行交易。跨國企業、銀行和其他金融機構訂立遠期合約，以遠期匯率作為對沖。遠期匯率由即期匯率與兩國之間的利率差異之間的平價關係確定，反映了外匯市場中的經濟均衡，消除套利機會。當處於均衡且兩國的利率不同時，平價條件意味著遠期利率包含了反映利率差異的溢價或折價。遠期匯率對預測未來即期匯率具有重要的理論意義。(資料來源:維基百科),,,
,匯兌,利差交易,又稱為套息交易或融資套利交易，指在低利率的國家借錢，換成較高利率國家的貨幣後出貸，賺取利差。(資料來源:維基百科),,,
